Organization Name,Industries,Headquarters Location,Description,CB Rank (Company)
Vero Technologies,Financial Services,"New York, New York, United States",Vero Technologies is a Financial Services based company.,30340
Juntos Somos Mais,Construction,"São Paulo, Sao Paulo, Brazil",Juntos Somos Mais construction service company which connects construction professional with companies in Brazil.,30341
OneOneDay,"Ad Network, Advertising, Apps, Blockchain, Browser Extensions, Marketing","Hong Kong, Hong Kong Island, Hong Kong","We are building the world’s largest advertising network, co-owned by every ad-viewer.",30342
OXOS Medical,"Health Care, Health Diagnostics, Medical, Medical Device","Atlanta, Georgia, United States","OXOS Medical empowers every provider with the capability, clarity, and confidence to make accurate decisions at the point of care.",30343
ILLA,"Delivery, Fast-Moving Consumer Goods, Logistics, Transportation","Gîza, Al Jizah, Egypt",ILLA is an asset-light FMCG-focused middle mile delivery logistics company.,30344
Skyfish,"Hardware, Sensor, Software","Missoula, Montana, United States",SkyFish is architected to seamlessly connect to all your third party sensor hardware.,30345
BioAtla,"Biotechnology, Health Care, Medical","San Diego, California, United States","BioAtla develops safer, more effective drugs for cancer using a proprietary next-generation antibody discovery and evolution platform.",30346
Dtravel,"Blockchain, Travel Accommodations","Grand Cayman, Midland, Cayman Islands",Dtravel is a decentralized platform for the home-sharing economy facilitating short and long-term stays payable.,30347
EnPlusOne Biosciences,"Biotechnology, Life Science, Therapeutics","Watertown, Massachusetts, United States",EnPlusOne Biosciences provides innovative solutions for emerging RNA therapeutics.,30348
FairWarning,"Business Intelligence, Cloud Security, Health Care, Information Technology, Security","Clearwater, Florida, United States","FairWarning delivers information security intelligence and insights for Salesforce®, Office 365, and Electronic Health Records.",30349
Gartenhaus,"Home and Garden, Retail, Shopping","Hamburg, Hamburg, Germany","Gartenhaus offers garden houses, sheds, carports, terraces, saunas and other, often bulky, garden and home related products.",30350
Goalsetter,"Debit Cards, Financial Services, FinTech, Gift Registry, Payments","New York, New York, United States","Goalsetter is a children and family finance app that provides a next-generation, education-first banking experience.",30351
Englease,"E-Learning, Education","Dubai, Dubai, United Arab Emirates","Englease is an online platform providing live, accredited and flexible English classes in the MENA region.",30352
ASOVIEW Inc.,"Internet, Leisure, Travel","Shibuya, Kanagawa, Japan",ASOVIEW Inc. is an online booking website that provides booking services for weekend leisure activities like skydiving and rafting.,30353
Capital Bank Group,"Banking, Finance, Financial Services","Amman, Amman, Jordan",Capital Bank Group offers the Jordanian market a comprehensive set of commercial and investment banking services and solutions,30354
Valeo,"Fitness, Health Care, Wellness","Dubai, Dubai, United Arab Emirates",Valeo allows you to optimize your health by empowering you to take control of your health using a personalized mobile health tracker.,30355
Draiver,"Automotive, Mobile, Software, Transportation","Overland Park, Kansas, United States",Draiver develops technologies and tools that enable on-demand vehicle relocation.,30356
4CRisk.ai,"Artificial Intelligence, Compliance, Risk Management, Software","Redwood City, California, United States",4CRisk.ai is an Advanced AI and Predictive Analytics company in the risk and compliance domain.,30357
V2 Games,"Gaming, Mobile Apps, Online Games, Venture Capital, Video Games, Web Apps","Vancouver, British Columbia, Canada",V2 Games is a video game investment firm.,30358
Kolay,"Human Resources, SaaS, Software","Istanbul, Istanbul, Turkey",Kolay helps HR professionals to streamline their day to day tasks with an easy to use and smart SaaS platform.,30359
Quint Group,"Financial Services, FinTech","Macclesfield, Cheshire East, United Kingdom","Quint is a international, highly innovative fintech Group operating in consumer finance markets globally.",30360
Cymmetria,"Cyber Security, Network Security, Security","Palo Alto, California, United States",Cymmetria is a cybersecurity startup working to tilt the asymmetry of cyber so that hackers are the ones left vulnerable.,30361
Wunderite,"FinTech, Insurance, InsurTech, Software","Boston, Massachusetts, United States",Next-generation software for insurance agents,30362
Dotc United Group,"Android, Internet, iOS, Marketing, Mobile Apps, Software","Shanghai, Shanghai, China",DotC United Group creates and architects internet platforms to simplify globalization complexities,30363
Up Learn,"B2C, E-Learning, Education, Personalization, Secondary Education","London, England, United Kingdom",Up Learn is an online education platform.,30364
3vjia.com,"Furniture, Home Decor, Home Renovation, Virtual Reality","Guangzhou, Guangdong, China",3vjia.com is 3D home design and furnishing portal that uses VR technology.,30365
Qonsent,,"Westport, Connecticut, United States",The Privacy Enablement & Engagement Platform,30366
GIM - Digital Truck,"E-Commerce, Information Technology, Logistics, Transportation","Dhaka, Dhaka, Bangladesh",The Best Truck Rental App In Bangladesh,30367
Labviva,"Biotechnology, E-Commerce, Health Care, Marketplace","Cambridge, Massachusetts, United States",Labviva is a digital marketplace for life science products that connects researchers with suppliers.,30368
ASOS,"E-Commerce, E-Commerce Platforms, Fashion, Retail, Social Media","London, England, United Kingdom",Asos is an online platform engaged in the retail of fashion and beauty products for men and women.,30369
Visualping,"Internet, SaaS","Vancouver, British Columbia, Canada",Automated website change alerts for consumers and enterprise with more than 2 million personal and business users in all verticals.,30370
Remrise,"Fitness, Health Care, Personal Health, Wellness","San Francisco, California, United States","Remrise is a health, wellness, and fitness company that offers a personalizes plant-powered sleep formulas.",30371
TriplePoint Venture Growth,"Finance, FinTech","Menlo Park, California, United States",TriplePoint Venture Growth is a non-diversified management investment company.,30372
DIO,"Information Technology, Software","Araraquara, Sao Paulo, Brazil",The Lifelong Learning Community Platform Where Companies Hire Tech Talents At Scale,30373
Dartmouth College,"Education, Higher Education, Universities","Hanover, New Hampshire, United States","Founded in 1769, Dartmouth is a member of the Ivy League and consistently ranks among the world's greatest academic institutions.",30374
Getty Realty,Real Estate,"Jericho, New York, United States","Getty Realty is a REIT specializing in ownership, leasing & financing of a convenience store and gasoline station properties.",30375
Pink App,"Collaboration, Messaging, SaaS","Rio De Janeiro, Rio de Janeiro, Brazil","A ""slack based"" communication tool that organizes all types of chat, internal and external, in one platform.",30376
Esmito,"Analytics, Battery, Information Technology, Logistics","Taramani, Tamil Nadu, India",Esmito provides a variety of solutions for Logistics and Last Mile Mobility players to enable Energy as a Service.,30377
Basquevolt,"Automotive, Battery, Electronics, Manufacturing","Vitoria-gasteiz, Pais Vasco, Spain",Basquevolt is a leader in solid state battery technology.,30378
Videoly,"E-Commerce, Internet, Search Engine, Video","Helsinki, Southern Finland, Finland",Videoly is an automated product video discovery and management tool for e-commerce.,30379
Bioz,"Biotechnology, Life Science","Los Altos, California, United States",Bioz is a disruptive startup at the intersection of information technology and scientific research.,30380
Creadits,"Advertising, Digital Marketing","Singapore, Central Region, Singapore",Creadits produces high-performing creatives that delivers maximum results for minimal resources.,30381
Cocunat,"Cosmetics, E-Commerce","Barcelona, Catalonia, Spain",Cocunat is a natural and 100% toxic free cosmetics brand.,30382
Rind,"Food and Beverage, Food Processing, Fruit, Organic Food","New York, New York, United States","Rind is a producer of healthy snack food that focuses on delicious, all-natural foods.",30383
Redesign Science,"Biotechnology, Health Care, Pharmaceutical","New York, New York, United States","Redesign Science is a computational chemistry company setting a new standard for early-stage, small molecule drug discovery.",30384
Akiba Digital,"Analytics, Cloud Data Services, Credit Bureau, Data Integration, Lending, Micro Lending, Predictive Analytics, Retail Technology, Small and Medium Businesses","Johannesburg, NA - South Africa, South Africa","Data, Technology, Financial Intelligence Solutions. Unlocking financial opportunities for consumers and businesses using alternative data.",30385
BigRep,"3D Printing, Advanced Materials, Manufacturing, Mechanical Engineering","Berlin, Berlin, Germany","BigRep is a leader in large-format FFF 3D printing, transforming its user’s productivity with easy-to-use additive manufacturing solutions",30386
Phlo,"Health Care, Internet, Medical, Pharmaceutical","London, England, United Kingdom","Phlo is a digital pharmacy that provides secure, real-time, same-day prescription delivery.",30387
NuBrakes,"Mechanical Engineering, Mobile, Service Industry","Austin, Texas, United States","NuBrakes provides convenient, affordable mobile brake repairs right where the vehicle is parked.",30388
HealthBeacon,"Health Care, Medical, Medical Device","Dublin, Dublin, Ireland",HealthBeacon is a connected health care device designed to drive treatment adherence for patients on self-injectable medications.,30389
Agree Realty,Real Estate,"Farmington Hills, Michigan, United States",Agree Realty Corporation is a self-administered and self-managed real estate investment trust (REIT).,30390
Kukua,"Content, EdTech, Franchise, Media and Entertainment","Nairobi, Nairobi Area, Kenya",The edutainment company for children of the 21st century,30391
Sollective,"Freelance, Human Resources","Tokyo, Tokyo, Japan",Sollective is an invite-only freelancer network where companies can directly hire great talent inside & outside of Japan,30392
Nix & Kix,Food and Beverage,"London, England, United Kingdom",Nix & Kix make better-for-you soft drinks for the growing craft adult soft drinks market.,30393
Nitrase Therapeutics,"Biotechnology, Health Care, Therapeutics","Jackson, Mississippi, United States",Nitrase Therapeutics is developing drugs against newly discovered nitration enzyme(s).,30394
Sofina,"Finance, Financial Services, FinTech","Brussels, Brussels Hoofdstedelijk Gewest, Belgium",Sofina is an investment company that supports entrepreneurs and families managing growing companies.,30395
Veza,"Cloud Security, Database, Security, Software","Palo Alto, California, United States",Veza is a data security platform that helps users use and share their data safely.,30396
Speedscale,"Developer APIs, Information Technology, Productivity Tools, Test and Measurement, Usability Testing","Atlanta, Georgia, United States",Speedscale allows users to stress test cloud services with real-world scenarios.,30397
55ip,"Asset Management, Finance, Financial Exchanges, Financial Services, FinTech, Wealth Management","Boston, Massachusetts, United States",55ip is a tax-smart investment strategy engine used by financial advisors to dramatically improve their efficiency and effectiveness.,30398
The Good Crisp Company,Consumer Goods,"Boulder, Colorado, United States",The Good Crisp Company creates great-tasting snacks using good ingredients.,30399
Imply,"Analytics, Big Data, Data Visualization, Enterprise Software, Information Technology","Burlingame, California, United States",Imply is a multi-cloud data platform designed to deliver real-time ingestion and visualizations for event-driven and streaming data flows.,30400
Auctionata,"Auctions, E-Commerce, Internet",,Auctionata is an online auction platform for art and luxury collectibles and the inventor of the livestream auction.,30401
GreenValley International Inc,"3D Technology, Autonomous Vehicles, Computer, Indoor Positioning, Mapping Services, Robotics, Software","Berkeley, California, United States","GreenValley International Inc. provides advanced solutions in 3D survey and mapping, robotics automation, and high-definition mapping.",30402
euNetworks Group,"Infrastructure, Telecommunications, Wholesale","London, England, United Kingdom",euNetworks is a Western European provider of bandwidth infrastructure services.,30403
Energiefonds Overijssel,"Energy, Energy Storage, Renewable Energy, Venture Capital","Zwolle, Overijssel, The Netherlands",Energiefonds Overijssel is a government-backed fund focused on accelerating the energy transition in the Dutch province of Overijssel.,30404
Wildfang,"Fashion, Lifestyle, Shopping","Portland, Oregon, United States",Wildfang is a fashion and lifestyle company offering a centralized place for women to find men-inspired clothing.,30405
Solarea Bio,"Biotechnology, Health Care, Therapeutics, Wellness","Cambridge, Massachusetts, United States",Solarea Bio develops microbial therapeutics aimed to treat indications derived from chronic inflammation to aid human health.,30406
Storone,"B2B, Data Storage, Information Technology, Software, Web Hosting","New York, New York, United States",Storone provide storage system for small and enterprise business.,30407
YouPay,"E-Commerce, Online Portals, Payments","Brisbane, Queensland, Australia",YouPay is a payment platform that offers an easy way for someone else to pay.,30408
Viveo Health,"Health Care, Health Insurance","Tallinn, Harjumaa, Estonia",Viveo reshape's the future of health insurance through digitization by providing insurers better loss ratio and client engagement.,30409
Integrated Finance,"Financial Services, FinTech, Software","London, England, United Kingdom",Integrated Finance platform offers infrastructure APIs that help developers at fintech startups and big banks.,30410
Civetta Therapeutics,"Biotechnology, Life Science, Therapeutics","Cambridge, Massachusetts, United States",Civetta Therapeutics is a cancer therapeutics company to advance new medicines through small molecule targeting of beta-propeller domains.,30411
Semantic Health,"Health Care, Machine Learning","Toronto, Ontario, Canada",AI-Powered Concurrent Coding and Auditing Platform,30412
Health Fidelity,"Health Care, Information Technology, Payments, Risk Management","San Mateo, California, United States",Health Fidelity offers risk adjustment and quality solutions for healthcare organizations participating in risk-based payment programs.,30413
WE.VESTR,"Financial Services, FinTech, Legal Tech","Amsterdam, Noord-Holland, The Netherlands","The Equity Management platform designed by founders, for founders.",30414
Vaxart,"Biotechnology, Health Care, Medical Device","San Francisco, California, United States",Vaxart is a biotechnology company that develops vaccine technology for the treatment of infectious diseases.,30415
ELYZIO,"Computer, Gaming, Video Games","Wilmington, Delaware, United States",Gaming,30416
Corvus Insurance,"Artificial Intelligence, Cyber Security, Insurance, InsurTech","Boston, Massachusetts, United States",Corvus Insurance provides AI-driven commercial insurance that allows brokers and policyholders to predict and prevent risk.,30417
Minh Phu,Food and Beverage,"Cà Mau, NA - Vietnam, Vietnam",Minh Phu operates as a shrimp producer and processing firm.,30418
Workstream,"Human Resources, Recruiting, SaaS, Software","San Francisco, California, United States","Workstream, Inc., through its subsidiaries, manufactures office furniture.",30419
Vero Fiber Networks,"Education, Information Technology, Internet, Network Hardware","Boulder, Colorado, United States","Vero Fiber Networks is an optic network company that provides reliable, scalable, and secure connectivity for schools.",30420
Med247,Health Care,"Hanoi, NA - Vietnam, Vietnam",Med247  is an offline-to-online (O2O) healthtech startup.,30421
MedAll,"Continuing Education, Education, Health Care","Belfast, Belfast, United Kingdom","We make great healthcare training accessible to every healthcare professional, everywhere.",30422
Mistine,"Beauty, Cosmetics","Minhang, Shanghai, China",Mistine is a new generation of national beauty brand.,30423
Evorra,"B2B, Cloud Computing, Cloud Data Services, Information Technology, Marketing, Marketplace, SaaS, Software","London, England, United Kingdom","SaaS marketplace, clean room technology, full transparency, privacy and data compliance at scale",30424
Jiemian.com,"Content, Internet, News, Social News","Beijing, Beijing, China",Jiemian.com is a news website in China that focuses on covering business and finance fields.,30425
nVenue,"Artificial Intelligence, Fantasy Sports, Gambling, Machine Learning, Media and Entertainment, Software, Sports","Houston, Texas, United States","nVenue’s unmatched tech streams 1000s of probabilities along with live sports for best fan experiences watching, betting, or BOTH",30426
Actelis Networks,"Internet, Telecommunications, Wireless","Fremont, California, United States","Actelis accelerates wide-scale deployment of broadband services for telecoms service providers, enterprises and municipalities worldwide.",30427
Ripple Science,"Clinical Trials, Health Care, SaaS, Software","Ann Arbor, Michigan, United States",Ripple Science accelerates clinical research with its HIPAA-compliant suite of tools.,30428
Newsflare,"Social Media, Video","London, England, United Kingdom",Newsflare is an online marketplace for user generated video content.,30429
Annovis Bio,"Biotechnology, Developer Platform, Therapeutics","Berwyn, Pennsylvania, United States","Annovis Bio develops novel treatments for Alzheimer’s disease, Parkinson’s disease, and other neurodegenerative disorders.",30430
Inhabitr,"E-Commerce, Furniture, Interior Design, Internet, Real Estate","Chicago, Illinois, United States",Inhabitr is a furniture rental platform that lets users rent furniture at an affordable price.,30431
Vitesy,"Electronics, Hardware, Health Care, Internet of Things, Product Design","San Francisco, California, United States","We’re Vitesy, producer of IoT devices that improve your daily life.",30432
Dough,"Education, Financial Services, Impact Investing, Internet, Personal Finance","Chicago, Illinois, United States",Dough is a web-based investing platform that helps individual traders manage their own finances.,30433
Vinco,"EdTech, Education","Monterrey, Nuevo Leon, Mexico",Vinco helps companies empower their workforce via education opportunities.,30434
Cardinal,"Blockchain, Cryptocurrency","San Francisco, California, United States","Cardinal is a NFT infrastructure protocol facilitator. it offers leasing, staking, and ticketing to increase the utility of NFTs.",30435
Engine Media,"Broadcasting, eSports, Media and Entertainment, Mobile Apps","Toronto, Ontario, Canada","Engine Media focuses on accelerating new, live, immersive esports, and interactive gaming experiences.",30436
Akulaku,"Banking, Financial Services, FinTech, Insurance, Wealth Management","Jakarta, Jakarta Raya, Indonesia",Akulaku is a banking and digital finance platform that provides a variety of virtual payment services.,30437
DarkHorse,"Analytics, Big Data, Computer Vision, Hardware, Machine Learning, SaaS, Software, Sports","Palo Alto, California, United States","The world's first scalable youth sports community – leveraging cutting-edge tech & analytics for holistic, player-performance analysis.",30438
Streamline Health,"Analytics, Health Care, Medical, Software","Atlanta, Georgia, United States","Streamline Health Solutions is a healthcare industry leader in capturing, aggregating and translating enterprise data into knowledge.",30439
Freshflow,"Artificial Intelligence, Food Delivery, Machinery Manufacturing, Supply Chain Management","Berlin, Berlin, Germany",Freshflow is harnessing AI to build the food supply chain technology of the future and tackle global food waste.,30440
Stex,"Blockchain, Cryptocurrency","Tallinn, Harjumaa, Estonia",Stex is a multi-currency cryptocurrency trading platform that focuses on ICO and altcoins.,30441
Eligo,"Communities, E-Commerce, Fashion, Internet, Lifestyle, Marketplace, Professional Networking, Retail","Milan, Lombardia, Italy",Marketplace of Personal Stylists,30442
Toonimo,"Enterprise Software, Marketing, SaaS, Software","New York, New York, United States","Toonimo provides personalized & interactive guidance, with visual cues and a real human voice",30443
Nobank Labs,"Blockchain, Cryptocurrency, FinTech, Information Technology","Zug, Zug, Switzerland","nobank offers the easiest, cheapest and fastest access to Decentralized Finance.",30444
Igentify,"Genetics, Health Care, Health Diagnostics, Medical, Personal Health","Haifa, Hefa, Israel",Igentify Ltd provides preventive healthcare through genomic products and services.,30445
tray.io,"Cloud Computing, Data Integration, Marketing Automation, SaaS, Sales Automation, Software","San Francisco, California, United States",Tray.io provides a cloud-based software integration platform for automators.,30446
Navdy,"Automotive, Consumer Electronics, Mobile, Navigation","San Francisco, California, United States",Navdy creates augmented driving device for cars.,30447
K Health,"Artificial Intelligence, Health Care, Information Technology, Machine Learning, Mobile Apps","New York, New York, United States",K Health is a data-driven digital primary care system that uses AI to deliver personalized primary care.,30448
Eskimoz,"Internet, Search Engine, Semantic Web, SEO","Boulogne-billancourt, Ile-de-France, France",Eskimoz is a content marketing agency that specializes in natural referencing that supports companies.,30449
PikMyKid,"Communities, Education, Information Services, Leisure, Software","Tampa, Florida, United States","PikMyKid is a school safety platform providing dismissal automation, panic button, parent engagement & traffic solutions for schools.",30450
Manzana verde,"Food Delivery, Health Care, Wellness","Barranco, Lima, Peru",Manzana verde is a Meal delivery and nutritional advice monthly subscription platform that achieves nutritional goals.,30451
Backtrace,"Developer Platform, Developer Tools, Enterprise Software, Information Technology, Software, Software Engineering","New York, New York, United States",Backtrace is an error debugging platform that helps teams quickly find out what is behind application errors.,30452
ReviMedia,"Accounting, Advertising, Insurance, Lead Generation","New York, New York, United States",ReviMedia is a fast-growing performance marketing company offering sophisticated lead generation.,30453
AcuFocus,"Health Care, Medical, Medical Device","Irvine, California, United States",Acufocus is a medical device company that develops and markets KAMRA inlay for the treatment of near vision loss.,30454
Digital Hands,"Information Technology, Network Security, Professional Services","Tampa, Florida, United States",Digital Hands provides its clients with managed security services.,30455
Windgap Medical,"Biotechnology, Health Care, Manufacturing, Medical, Pharmaceutical","Somerville, Massachusetts, United States",WindGap Medical is a biotech company that manufactures medical devices used to treat patients with severe allergies.,30456
FOLIO,"Financial Services, Stock Exchanges","Tokyo, Tokyo, Japan",FOLIO is a financial Instruments Business Operator .,30457
Flyway,"Property Management, Real Estate","London, England, United Kingdom",Flyway uses PropTech to make second home ownership affordable and hassle-free in the heart of European capitals.,30458
Iconic Air,"Analytics, Mapping Services, Real Time","Morgantown, West Virginia, United States",Iconic Air is a real-time platform that offers emissions mapping and analytics solutions.,30459
Finsocial,"Banking, Financial Services","Barranquilla, Atlantico, Colombia",Finsocial provides credit solutions including payroll loan for teachers and pensioners.,30460
Rothy's,"E-Commerce, Fashion, Shoes, Waste Management","San Francisco, California, United States","Rothy’s is a global lifestyle brand transforming sustainable materials into timeless shoes, handbags and accessories.",30461
Raena,"Consumer Goods, E-Commerce, Web Apps","Jakarta, Jakarta Raya, Indonesia",Raena is a web-based platform for Indonesian customers to purchase beauty products.,30462
Sendbird,"Developer APIs, Messaging, Mobile, Video Chat","San Mateo, California, United States","Sendbird developed a messaging-as-a-service API that provides chat, voice, and video messaging for mobile apps and websites.",30463
Videri,Digital Signage,"New York, New York, United States",Videri is a manufacturer of digital displays and developer of custom apps. ,30464
Groupe RG,"Facilities Support Services, Security","Saint-priest-ligoure, Limousin, France",Groupe RG is the French specialised distributor of Personal Protective Equipment (PPE).,30465
Qira,FinTech,"New York, New York, United States",Financial Services for Property Managers and Residents,30466
Shift,"Education, Recruiting","San Francisco, California, United States",SHIFT is a provider of cloud-based media collaboration and digital asset management solutions.,30467
Afluenta,"Consumer Lending, Finance, Financial Services, FinTech, Internet, Marketplace","Buenos Aires, Distrito Federal, Argentina",Afluenta is the first and only Marketplace Lending company for consumer and SME loans operating in more than one country in Latin America.,30468
FIGUR8,"Apps, Health Care, iOS, Software","Boston, Massachusetts, United States",FIGUR8 is the most advanced on-body movement intelligence solution for evaluating musculoskeletal health.,30469
Glance Networks,"Customer Service, E-Commerce, Enterprise Software, Information Technology, Sales","Wakefield, Massachusetts, United States","Glance improves the way businesses interact with their customers with next generation cobrowse, screen share and agent video technology.",30470
Greencross,"Food and Beverage, Health Care, Retail","Brisbane, Queensland, Australia","Greencross is Australasia’s leading specialist retailer of pet food, pet related products and veterinary services.",30471
Osiris Therapeutics,"Biotechnology, Marketing, Medical Device","Columbia, Maryland, United States","Osiris Therapeutics is a stem cell company, which focuses on developing and marketing products to treat medical conditions.",30472
Jeenie,"Apps, Mobile Apps, Translation Service","Washington, District of Columbia, United States",Jeenie is a mobile platform that connects the user to a community of language experts to help them with any communication needs.,30473
Vyapar App,"Accounting, FinTech, Local Business, Software","Bangalore, Karnataka, India",Vyapar is a fully GST-compatible business accounting software aimed at simplifying the daily activities of micro & small businesses.,30474
HammerTech Global,"Computer, Construction, Information Technology, SaaS, Software","Melbourne, Victoria, Australia","HammerTech is construction's collaborative performance & productivity platform, ensuring operational efficiency, quality, and safety.",30475
OptiFunder,Financial Services,"Creve Coeur, Illinois, United States",OptiFunder is a Fully-Integrated and Automated Warehouse Management Platform.,30476
MFour Mobile Research,"Consumer Applications, Market Research, Mobile Apps, Personal Branding, Product Research","Irvine, California, United States",MFour Mobile Research is a developer of mobile survey and research software,30477
Svenska Cellulosa Aktiebolaget (SCA),Manufacturing,"Stockholm, Stockholms Lan, Sweden","SCA is a global company with Swedish roots that develops and produces sustainable personal care, tissue and forest products.",30478
Gravity Diagnostics,"Health Diagnostics, Hospital","Covington, Kentucky, United States",Gravity Diagnostics is a full-service state-of-the-art CLIA laboratory licensed in all 50 states providing innovative laboratory testing.,30479
Argo Mining,"Blockchain, Cryptocurrency, Information Services, Information Technology, Software","London, England, United Kingdom",Argo Mining is a platform that enables customers to efficiently mine Ethereum and other altcoins.,30480
GVK Biosciences,"Manufacturing, Search Engine","Hyderabad, Andhra Pradesh, India",GVK Biosciences (GVK BIO) is Asia’s leading Discovery Research and Development organization.,30481
Studio,Consumer Software,"New York, New York, United States",social software by & for creatives,30482
Tutenlabs,"Customer Service, Field Support, Internet, SaaS, Software","Santiago, Region Metropolitana, Chile",Tutenlabs offers SaaS solutions and digital transformation advisory for Mobile Workforce and Field Service Management,30483
Avantia,"Financial Services, FinTech, Insurance","New Malden, Kingston upon Thames, United Kingdom","Avantia mission to make insurance available to everybody, not just those whose risks are easy to price.",30484
North Sails,"Manufacturing, Sporting Goods, Sports","Newport, Rhode Island, United States",North Sails is a sailing wear manufacturing company that provides sails for racing and cruising sailboats including designing services.,30485
Butter Insurance,"Financial Services, Insurance, Online Portals, Personal Finance","Sydney, New South Wales, Australia","Butter Insurance is an online insurance platform that provides track claims, payment updates, policy management, and personal insurance.",30486
dimply,"Financial Services, FinTech, InsurTech, Software","Dublin, Dublin, Ireland",Dimply is designed to give your customers confidence and control over their finances.,30487
Geminus.ai,"Aerospace, Artificial Intelligence, Clean Energy, Energy Efficiency, Energy Storage, Oil and Gas, Renewable Energy, Semiconductor","Cambridge, Massachusetts, United States","Geminus automates the creation, management, and update of AI models for optimization of industrial equipment and processes.",30488
ION Geophysical Corporation,Software,"Houston, Texas, United States",ION Geophysical is a technology-focused seismic solutions company,30489
Curseria,"E-Learning, EdTech, Education, Training","São Paulo, Sao Paulo, Brazil",Curseria is an online learning platform that offers courses taught by experts in various fields.,30490
Bond-Pro,"Information Technology, Software","Tampa, Florida, United States",Bond-Pro is a software automation tool for Surety professionals.,30491
Wilton Re,"Insurance, Life Insurance, Risk Management","Wilton, Connecticut, United States","Wilton Re is a provider of life insurance, reinsurance, and risk capital services.",30492
Affect Therapeutics,"Fitness, Health Care, Wellness","New York, New York, United States",Affect Therapeutics is using mobile technology to revolutionize stimulant addiction recovery.,30493
UNIPaaS Payments Technologies,"Financial Services, FinTech","Tel Aviv, Tel Aviv, Israel","UNIPaaS is a modern payment solution that enables Digital platforms and Marketplace to own, manage and monetise from financial services.",30494
SINAI Technologies,"Enterprise Resource Planning (ERP), Enterprise Software, Information Technology, Sustainability","San Francisco, California, United States","SINAI Technologies builds enterprise decarbonization software to monitor, analyze, and reduce carbon emissions.",30495
DriveU.auto,"Automotive, Autonomous Vehicles, Information Technology","Kfar Saba, HaMerkaz, Israel",DriveU.auto is a US-based developer of a connectivity platform for autonomous vehicle teleoperation.,30496
Qualitas Health,"Health Care, Hospital, Personal Health","Petaling Jaya, Selangor, Malaysia",Qualitas Health offers primary healthcare services and solutions.,30497
Growth Kitchen,,"London, England, United Kingdom","Growth Kitchen offers the best locations, satellite kitchens, and digital tools for restaurants that want to scale their delivery network.",30498
NG Energy International,"Energy, Energy Management, Oil and Gas","Vancouver, British Columbia, Canada","NG Energy is an oil & gas company that makes business plan in countries having production growth, new reserves, and shareholder value.",30499
Devnagri,"Artificial Intelligence, Developer APIs, Machine Learning, Natural Language Processing, PaaS, SaaS, Software","Delhi, Delhi, India","Devnagri is an AI-powered Translation Platform translating the content in Indian Languages using automation, delivering solutions to B2B",30500
eureciclo,"Consumer Goods, Environmental Consulting, Recycling","São Paulo, Sao Paulo, Brazil","eureciclo connects consumer goods brands with recyclers, promoting recycling with social responsibility.",30501
klay schools,"Education, Primary Education, Service Industry","Bangalore, Karnataka, India",KLAY is extremely focused on child safety.,30502
CTO.ai,"Cloud Infrastructure, Internet, Software","Vancouver, British Columbia, Canada","CTO.ai provides a Developer Control Plane that helps companies measurably increase developer productivity up to 200x, without hiring DevOps.",30503
Pathway Medical,"Artificial Intelligence, Health Care, Information Technology, Medical, Software","Montreal, Quebec, Canada","Empowering clinicians and healthcare organizations to provide better, more efficient care.",30504
Breathometer,"Consumer Electronics, Health Care, Software, Wellness","Burlingame, California, United States",Breathometer is a breath analysis technology.,30505
BuzzCast,"Events, Information Technology, Video Conferencing","Los Angeles, California, United States",BuzzCast is a virtual events platform that produces large-scale virtual and hybrid events.,30506
ORock Technologies,"Big Data, Cloud Computing, Cloud Data Services, Cloud Infrastructure, Cloud Security, Cloud Storage, Cyber Security, IaaS, Information Technology, Private Cloud, SaaS","Reston, Virginia, United States","ORock Technologies provides IaaS and cloud services to IT companies and customers in defense, government, and regulated industries.",30507
FoolFarm,"Artificial Intelligence, Blockchain, Cyber Security, Machine Learning, Natural Language Processing, Software","Milano, Lombardia, Italy",Milan-based Venture Builder specialised in AI & Blockchain,30508
Common Paper,"Computer, Software",,Common Paper,30509
Nura Bio,"Biotechnology, Health Care, Medical, Wellness","South San Francisco, California, United States","Nura Bio revolutionizes the treatment of neurological diseases with novel, life-changing neuroprotective medicines.",30510
The Greenbier Companies,"Construction, Manufacturing, Railroad, Transportation","Lake Oswego, Oregon, United States","The Greenbrier Companies is a designers, manufacturers and marketers of railroad.",30511
FINEXITY AG,"Blockchain, FinTech, Real Estate Investment","Hamburg, Hamburg, Germany",Germany‘s first blockchain-based real asset investment platform.,30512
Enso Finance,"Blockchain, Cryptocurrency, Ethereum, Finance, FinTech, Peer to Peer","Zug, Zug, Switzerland",Enso Finance is a Defi tool for creating permissionless trading strategies.,30513
Graphmatech,Nanotechnology,"Uppsala, Uppsala Lan, Sweden","Graphmatech, enabling the green transition with graphene technology",30514
Beam,"Artificial Intelligence, Compliance, Enterprise Software, Financial Services, FinTech, SaaS, Software","San Francisco, California, United States",Innovative Compliance for the Future of Finance. ,30515
OpsCompass,"Enterprise Software, Information Technology, SaaS, Software","Omaha, Nebraska, United States",OpsCompass is a SaaS-based provider of cloud security posture management enterprise software.,30516
MetaVRse,"3D Technology, Augmented Reality, Marketing, Retail, Software, Virtual Reality","Toronto, Ontario, Canada","MetaVRse is a web-based low-code, real-time 3D creation platform for the future of human communication, collaboration, culture and commerce.",30517
